Item,Categoría,Nombre / Modelo,Fabricante,Código,Link,Cantidad,Storage,Precio U (€),Precio Total (€),Notas
25,Herramienta,WE 1010 70W/230V,Weller,T0053298393,"Weller WE 1010 (T0053298699) Estación de soldadura digital de 1 canal, 70 Vatios/230 Voltios, rango de temperatura de 100 °C a 450 °C, azul : Weller: Amazon.es: Bricolaje y herramientas",1,0,$159.0,$159.0,Estacion de soldadura Weller
26,Herramienta,KIT 5 Puntas for WE 1010,Weller,T0053298393,Weller T0053298393 Juego de 5 Puntas de Soldadura ET para la Estación de Soldadura WE1010 : Amazon.es: Bricolaje y herramientas,1,0,$22.0,$22.0,"Juego de 5 Puntas de Soldadura: ETA 1,6mm ETB de 2,4 mm ETC de 3,18 mm ETP de 0,8 mm TETS de 0,4 mm para la Estación de Soldadura WE1010"
27,Herramienta,Manual Desoldering 7874B,Weller,7874B,"Weller 7874B Manual ESD Safe Desoldering Pump With Aluminum Body, Blue : Amazon.nl: DIY & Tools",1,0,$17.0,$17.0,Manual ESD Safe Desoldering Pump With Aluminum Body
28,Herramienta,Helping Hands 4 Magnetic Flexible,Weller,WALCCHHM-02EU,Weller WLACCHHM-02EU hand help with 4 movable and adjustable magnetic arms for multiple configurations : Amazon.nl: DIY & Tools,1,0,$47.0,$47.0,Hand help with 4 movable and adjustable magnetic arms for multiple configurations
29,Herramienta,WSW SCN M1,Weller,T0051402799,"Weller WSW SCN M1 (T0051402899) Alambre De Soldadura Sin Plomo, Ø 0,3 Mm, Aleación Sn99.3Cu0.6Ni0.05, Contenido De Fundente 3.5%, 100g : Amazon.es: Bricolaje y herramientas",1,0,$36.0,$36.0,"Alambre para soldar Nucleo Flux sin Plomo (Welding Wire without Lead) Alloy Sn99.3Cu0.6Ni0.05, Flux Content 3.5%, Punto de fusión: aprox. 228–229 °C, Ø 0.3 mm, 100g"
30,Herramienta,WSW SAC L0,Weller,T0051388799,"Weller WSW SAC L0 Soldeertin, loodvrij Spoel Sn3,0Ag0,5Cu 250 g 0.8 mm kopen ? Conrad Electronic",1,0,$62.0,$62.0,"Alambre para soldar Nucleo Flux sin Plomo (Welding Wire without Lead) Alloy Sn96.5Ag3.0Cu0.5, Flux Content 3.5%, Punto de fusión: aprox. 216–218 °C, Ø 0.8 mm, 250g"
31,Limpieza,TC205,Weller,TC205,Weller TC205 kopen ? Conrad Electronic,0,2,$3.0,$6.0,Esponja reemplazo para Estacion de soldadura Weller
32,Limpieza,WLACCBS-02 Brass Sponge,Weller,T0051384099,Weller WLACCBS-02 Esponja de Latón para Limpiar Las Puntas de Soldadura : Amazon.es,0,1,$13.0,$13.0,"Lana metálica de repuesto de latón, juego de 5 piezas"
33,Herramienta,"ISO-Flux ""E"" Soldeerpasta 50g",Felder,25280035,"Felder ISO-Flux ""E"" Soldeerpasta Inhoud 1 stuk(s) kopen ? Conrad Electronic",1,0,$8.0,$8.0,"Flux: ROM1 (EN 61190-1-1/ J-STD-004), 1123 (ISO 9454-1:2016), Contenido halógeno: < 1%, Contenido de sólidos: 25%, Densidad (20 °C): 0,850 g/cm³, 50g"
34,Herramienta,ZD-180 Desoldering Wire Flux soaked,TOOLCRAFT,1013274,TOOLCRAFT ZD-180 Desoldering Wire Length 1.5 m Width 3.0 mm Want to buy flux soaked? Conrad Electronic,1,1,$2.0,$4.0,Length 1.5 m Width 3.0 mm
35,Limpieza,"ECO-301 - Alcohol Isopropílico 99,9%",EQM,ECO-301,"EQM - ECO-301 - Alcohol Isopropílico 99,9% - 1L - Isopropanol - Limpieza componentes electrónicos, objetivos y pantallas - Limpieza de resinas en impresión 3D - Limpiacristales y desengrasante : Amazon.es: Salud y cuidado personal",1,0,$9.0,$9.0,"Isopropanol - Limpieza componentes electrónicos, objetivos y pantallas - Limpieza de resinas en impresión 3D - Limpiacristales y desengrasante ECO-301 - 1L"
36,Limpieza,Isopropanol 99.9% Cleaner,Nanoprotect,Iso-1x1,"Nanoprotect Isopropanol 99.9% | 1 Litre Cleaner, High Percentage Isopropyl Alcohol | IPA Cleaning Alcohol for Home and Electronics | Made in Germany : Amazon.nl: Health & Personal Care",1,0,$10.0,$10.0,IPA Cleaning Alcohol for Home and Electronics - 1L
37,Herramienta,Tip Tinner 30g,Aliexpress,Genérico,6-30g Soldering Iron Tip Cleaning Paste Soldering Iron Tip Tinner Activator Tip Cleaner Remover BGA Refresher Repair Tools - AliExpress 1420,1,0,$5.0,$5.0,"Soldering Iron Tip Cleaning Paste Soldering Iron Tip Tinner Activator Tip Cleaner Remover BGA Refresher Repair Tools, 30g"
38,Herramienta,Helping Hands 4 Magnetic Flexible,Aliexpress,Genérico,Welding Magnifying Glass LED Light Auxiliary Clip loupe Magnifier 3 In1 Hand Soldering Solder Iron Stand Holder Station - AliExpress 1420,1,0,$17.0,$17.0,"Product D Specifications: Material: ABS, Color: Black, Mirror Diameter: 72mm (large lens), 30mm (small lens), 22mm (small lens), Magnification: 3 times (large lens), 25 times (small lens), 4.5 times (small lens), Battery: 3 *AAA button battery (not included), Light Source: 10 Led Lights, USB Power: USB Cable Included, Item Size: 235 * 190 * 86mm / 9.25 * 7.48 * 3.39in"
39,Herramienta,Helping Hands 4 Magnetic Flexible,Aliexpress,TLH-D10-4,NEWACALOX Soldering Helping Hands 4 Magnetic Universal Flexible Arm Welding Assistant PCB Clamp Thir Hand Welding Repair Tools - AliExpress 1420,1,0,$7.0,$7.0,Juego de 4 brazos flexibles con pinzas de cocodrilo de 10cm de largo y caja de almacenamiento
40,Herramienta,Crimpadora Engineer PA-09,Engineer,PA-09,"ENGINEER PA-24 Micro Connector Crimper, Special Crimper for 2.5mm pitch pins such as JST XH PH EH Molex Micro-Fit 3.0, etc. Perfect crimp of Dupont Servo connectors Integrated : Amazon.nl: DIY & Tools",1,0,$46.0,$46.0,Herramienta profesional para crimpar terminales JST PH/SH/XH y Molex micro. Precisa y confiable; ideal para cables 20 AWG (Molex) y 24 AWG (JST)
41,Herramienta,Multímetro Digital 10000 counts AC/DC,AstroAI 10000,MUS10KRD,"AstroAI 10000 count smart multimeter, voltmeter, multimeter, tester for AC/DC current, AC/DC voltage, temperature, resistance, frequency, capacity, continuity, test diodes : Amazon.nl: DIY & Tools",1,0,$59.0,$59.0,"Count smart multimeter, voltmeter, multimeter, tester for AC/DC current, AC/DC voltage, temperature, resistance, frequency, capacity, continuity, test diodes"
42,Alimentacion,TPS3010 30V 10A,Wanptek,TPS3010,Wanptek Laboratory Power Supply Adjustable 30V 5A 30V 10A 60V 5A 120V 3A with Output Short Circuit Alarm DC Power Supply - AliExpress 13,1,0,$45.0,$45.0,Fuente de laboratorio 30V 10A con USB 18W y Type-C 18W
43,Alimentacion,Celda Samsung 30T 21700,Samsung,30T,-,2,4,$6.0,$36.0,"3000mAh, 3.6V nominal, 4.2V cargada, 2.5V cutoff, descarga máxima continua 35A"
44,Alimentacion,Celda Samsung 20S 18650,Samsung,20S,-,2,0,$6.0,$12.0,"2000mAh, 3.6V nominal, 4.2V cargada, 2.5V cutoff, descarga máxima continua 30A"
45,Alimentacion,PB2SL 18650/21700,XTAR,PB2SL,XTAR PB2SL V2 18650/21700 Battery Charger & Power Bank Fast Charging Smart Management Dual Function Safe Portable Solution - AliExpress,1,0,$25.0,$25.0,"Datasheet del V1 (posiblemente no se consiga y toque el V2). Input (entrada): QC3.0 & PD3.0, 5V ⎓ 2A, 9V ⎓ 2A, 12V ⎓ 1.5A, Corriente de carga constante: 2A ×2, 2A ×1, 1A ×2 Salida USB-A: QC3.0 / QC2.0 / FCP / PE2.0 / PE1.1 / SFCP Salida USB-C: PD3.0 / PD2.0 / QC3.0 / QC2.0 / FCP / PE2.0 / PE1.1 / SFCP Voltaje de corte de carga: 4.2 ± 0.05V Corriente de corte: ≤120 mA Temperatura de operación: 0–40 °C Dimensiones: 125 × 58 × 28 mm Peso: 85 g"
46,Chaqueta,MD237 W,Wosawe,MD237-ME322,WOSAWE Motorcycle Jacket Body Armor Protection Jackets Motorbike Clothing Moto Riding Back Protectors CE Certification Soft Pads - AliExpress,1,0,$56.0,$56.0,"Chaqueta licrada con protecciones naranjas CE2, en mi caso en talla L"
,,,,,,Total Unidad,,$923.5,,
,,,,,,Total Cantidad,,"$1,219.8",,
,, ,,,,,,,,
